Region,Category,Parameter,Mode,Powertrain,Year,Unit,Value
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49
Australia,Historical,EV sales share,Cars,EV,2011,percent,0
Australia,Historical,EV stock share,Cars,EV,2011,percent,0
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170
Australia,Historical,EV stock share,Cars,EV,2012,percent,0
Australia,Historical,EV sales share,Cars,EV,2012,percent,0
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410
Australia,Historical,EV sales share,Cars,EV,2013,percent,0
Australia,Historical,EV stock share,Cars,EV,2013,percent,0
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370
Australia,Historical,EV stock share,Cars,EV,2014,percent,0
Australia,Historical,EV sales share,Cars,EV,2014,percent,0
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500
Australia,Historical,EV sales share,Cars,EV,2015,percent,0
Australia,Historical,EV stock share,Cars,EV,2015,percent,0
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670
Australia,Historical,EV stock share,Cars,EV,2016,percent,0
Australia,Historical,EV sales share,Cars,EV,2016,percent,0
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400
Australia,Historical,EV sales share,Cars,EV,2017,percent,0
Australia,Historical,EV stock share,Cars,EV,2017,percent,0
Australia,Historical,EV charging points,EV,Publicly available fast,2017,Charging points,40
Australia,Historical,EV charging points,EV,Publicly available slow,2017,Charging points,440
Australia,Historical,EV charging points,EV,Publicly available fast,2018,Charging points,61
Australia,Historical,EV charging points,EV,Publicly available slow,2018,Charging points,670
Australia,Historical,EV stock share,Cars,EV,2018,percent,0
Australia,Historical,EV sales share,Cars,EV,2018,percent,0
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000
Australia,Historical,EV sales share,Cars,EV,2019,percent,1
Australia,Historical,EV stock share,Cars,EV,2019,percent,0
Australia,Historical,EV charging points,EV,Publicly available fast,2019,Charging points,250
Australia,Historical,EV charging points,EV,Publicly available slow,2019,Charging points,1700
Australia,Historical,EV charging points,EV,Publicly available fast,2020,Charging points,350
Australia,Historical,EV charging points,EV,Publicly available slow,2020,Charging points,2000
Australia,Historical,EV stock share,Cars,EV,2020,percent,0
Australia,Historical,EV sales share,Cars,EV,2020,percent,1
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000
Australia,Historical,EV sales share,Cars,EV,2021,percent,3
Australia,Historical,EV stock share,Cars,EV,2021,percent,0
Australia,Historical,EV charging points,EV,Publicly available fast,2021,Charging points,320
Australia,Historical,EV charging points,EV,Publicly available slow,2021,Charging points,2000
Australia,Historical,EV charging points,EV,Publicly available fast,2022,Charging points,470
Australia,Historical,EV charging points,EV,Publicly available slow,2022,Charging points,2100
Australia,Historical,EV stock share,Cars,EV,2022,percent,1
Australia,Historical,EV sales share,Cars,EV,2022,percent,5
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900
Austria,Historical,EV stock,Buses,BEV,2010,Vehicles,110
Austria,Historical,EV sales,Buses,BEV,2010,Vehicles,8
Austria,Historical,EV sales,Vans,BEV,2010,Vehicles,41
Austria,Historical,EV stock,Vans,BEV,2010,Vehicles,69
Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350
Austria,Historical,EV stock,Trucks,BEV,2010,Vehicles,1
Austria,Historical,EV sales share,Buses,EV,2010,percent,1
Austria,Historical,EV stock share,Buses,EV,2010,percent,1
Austria,Historical,EV sales share,Vans,EV,2010,percent,0
Austria,Historical,EV stock share,Vans,EV,2010,percent,0
Austria,Historical,EV stock share,Cars,EV,2010,percent,0
Austria,Historical,EV stock share,Trucks,EV,2010,percent,0
Austria,Historical,EV stock share,Trucks,EV,2011,percent,0
Austria,Historical,EV stock share,Cars,EV,2011,percent,0
Austria,Historical,EV stock share,Vans,EV,2011,percent,0
Austria,Historical,EV sales share,Vans,EV,2011,percent,0
Austria,Historical,EV stock share,Buses,EV,2011,percent,1
Austria,Historical,EV sales share,Buses,EV,2011,percent,1
Austria,Historical,EV charging points,EV,Publicly available fast,2011,Charging points,0
Austria,Historical,EV charging points,EV,Publicly available slow,2011,Charging points,0
Austria,Historical,EV stock,Trucks,BEV,2011,Vehicles,1
Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990
Austria,Historical,EV stock,Vans,BEV,2011,Vehicles,140
Austria,Historical,EV sales,Vans,BEV,2011,Vehicles,12
Austria,Historical,EV sales,Buses,BEV,2011,Vehicles,5
Austria,Historical,EV stock,Buses,BEV,2011,Vehicles,120
Austria,Historical,EV stock,Buses,BEV,2012,Vehicles,130
Austria,Historical,EV sales,Buses,BEV,2012,Vehicles,14
Austria,Historical,EV sales,Vans,BEV,2012,Vehicles,260
Austria,Historical,EV stock,Vans,BEV,2012,Vehicles,430
Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400
Austria,Historical,EV stock,Trucks,BEV,2012,Vehicles,1
Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140
Austria,Historical,EV charging points,EV,Publicly available fast,2012,Charging points,0
Austria,Historical,EV charging points,EV,Publicly available slow,2012,Charging points,0
Austria,Historical,EV sales share,Buses,EV,2012,percent,2
Austria,Historical,EV stock share,Buses,EV,2012,percent,1
Austria,Historical,EV sales share,Vans,EV,2012,percent,1
Austria,Historical,EV stock share,Vans,EV,2012,percent,0
Austria,Historical,EV stock share,Cars,EV,2012,percent,0
Austria,Historical,EV stock share,Trucks,EV,2012,percent,0
Austria,Historical,EV stock share,Trucks,EV,2013,percent,0
Austria,Historical,EV stock share,Cars,EV,2013,percent,0
Austria,Historical,EV sales share,Cars,EV,2013,percent,0
Austria,Historical,EV stock share,Vans,EV,2013,percent,0
Austria,Historical,EV sales share,Vans,EV,2013,percent,0
Austria,Historical,EV stock share,Buses,EV,2013,percent,2
Austria,Historical,EV sales share,Buses,EV,2013,percent,2
Austria,Historical,EV charging points,EV,Publicly available fast,2013,Charging points,0
Austria,Historical,EV charging points,EV,Publicly available slow,2013,Charging points,0
Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410
Austria,Historical,EV stock,Trucks,BEV,2013,Vehicles,1
Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100
Austria,Historical,EV stock,Vans,BEV,2013,Vehicles,620
Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650
Austria,Historical,EV sales,Vans,BEV,2013,Vehicles,3
Austria,Historical,EV sales,Buses,BEV,2013,Vehicles,15
Austria,Historical,EV stock,Buses,BEV,2013,Vehicles,140
Austria,Historical,EV stock,Buses,BEV,2014,Vehicles,130
Austria,Historical,EV sales,Buses,BEV,2014,Vehicles,1
Austria,Historical,EV sales,Vans,BEV,2014,Vehicles,11
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700
Austria,Historical,EV stock,Vans,BEV,2014,Vehicles,820
Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400
Austria,Historical,EV stock,Trucks,BEV,2014,Vehicles,1
Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,780
Austria,Historical,EV charging points,EV,Publicly available fast,2014,Charging points,0
Austria,Historical,EV charging points,EV,Publicly available slow,2014,Charging points,0
Austria,Historical,EV sales share,Buses,EV,2014,percent,0
Austria,Historical,EV stock share,Buses,EV,2014,percent,1
Austria,Historical,EV sales share,Vans,EV,2014,percent,0
